problem,solver,order,lim_type,mx,my,time_weno,time_rp,time_flux1,time_flux2,time_total,weno %,rs %,python %,weno+rs %
shallow2D,sharpclaw,9,2,100,100,25.868935,14.940506,46.294769,48.630066,57.38,45.0835395608,26.0378285117,15.249100732,71.1213680725
shallow2D,sharpclaw,5,2,100,100,6.440598,10.930988,21.312248,22.839954,29.0,22.2089586207,37.693062069,21.241537931,59.9020206897
shallow2D,sharpclaw,5,2,200,200,42.787933,77.021851,146.754517,157.580032,191.38,22.3575781168,40.245506845,17.6611808966,62.6030849619
shallow2D,sharpclaw,5,2,50,50,0.990023,1.65004,3.390081,3.700001,5.15,19.2237475728,32.0396116505,28.1553203883,51.2633592233
shallow2D,sharpclaw,9,2,400,400,1259.503418,963.704834,2438.439941,2564.379639,-1425.017296,-88.3851319935,-67.6275885707,279.954281692,-156.012720564
shallow2D,sharpclaw,7,2,400,400,619.749756,830.560791,1658.178223,1740.136963,2007.74,30.8680285296,41.3679456005,13.328570283,72.2359741301
shallow2D,sharpclaw,9,2,200,200,179.03186,109.34198,323.722778,337.289246,382.49,46.8069387435,28.5868859317,11.8174995425,75.3938246752
shallow2D,sharpclaw,9,2,300,300,584.935181,424.918579,1125.723633,1169.493774,1311.31,44.6069336008,32.4041286195,10.8148512556,77.0110622202
shallow2D,sharpclaw,7,2,300,300,275.328918,346.651672,715.541565,752.018433,871.4,31.5961576773,39.7810043608,13.6999732614,71.3771620381
shallow2D,sharpclaw,7,2,100,100,12.120899,12.941017,29.940582,31.879814,39.14,30.9680608074,33.063405723,18.5492743996,64.0314665304
shallow2D,sharpclaw,5,2,400,400,319.017944,729.919312,1233.800171,1307.745361,1547.51,20.6149197097,47.1673405665,15.4935760674,67.7822602762
shallow2D,sharpclaw,7,2,200,200,82.530792,86.284393,199.243195,210.718689,248.14,33.259769485,34.7724643346,15.080724994,68.0322338196
shallow2D,sharpclaw,5,2,300,300,138.953857,299.30835,521.286804,552.625732,658.85,21.0903630568,45.4289064279,16.1226786067,66.5192694847
shallow2D,sharpclaw,9,2,50,50,2.839987,1.65999,5.309969,5.590011,7.99,35.5442678348,20.775844806,30.0374092616,56.3201126408
shallow2D,sharpclaw,7,2,50,50,1.530019,1.570001,4.090032,4.41,6.4,23.906546875,24.531265625,31.09375,48.4378125
